<1h,1-3h,3-6h,>6h
3.3,103.33,188.33,433.33
0.06,108.32,218.33,368.33
0.18,83.24,293.33,383.33
0.47,123.12,248.27,423.33
0.63,177.69,358.22,418.33
26.34,142.29,338.15,473.33
4.1,127.03,257.96,473.32
4.56,105.38,217.69,373.27
8.59,164.5,262.19,438.19
9.39,138.63,351.86,513.32
10.7,71.09,300.82,463.18
33.07,69.47,213.51,523.31
20.36,96.05,193.76,391.46
32.01,95.97,313.2,360.46
41.44,78.16,277.62,508.21
11.65,33.97,320.95,467.27
61.92,68.97,306.1,467.09
68.29,73.06,253.81,472.17
69.81,70.37,175.69,387.14
83.73,61.08,130.24,424.15
88.54,55.51,261.9,533.32
94.4,67.91,200.93,378.05
87.2,79.86,170.28,523.19
82.04,94.96,296.73,512.87
73.16,95.81,284.83,507.61
66.45,42.37,78.87,474.76
62.1,84.17,88.34,341.66
39.47,17.22,150.48,455.51
14.12,3.75,266.59,461.1
4.18,65.36,112.92,441.34
0.0,56.43,128.92,365.39
0.0,0.08,134.26,317.86
3.33,33.4,68.37,476.66
0.0,33.11,199.96,469.74
3.33,54.45,210.75,466.94
0.0,60.14,14.23,423.43
38.33,52.06,137.55,405.04
18.33,44.96,42.67,307.18
0.0,30.71,220.03,510.86
42.92,51.63,3.67,470.19
13.31,9.18,214.37,533.19
26.93,23.57,97.05,255.52
23.18,19.51,101.43,368.35
0.17,35.61,201.99,494.56
0.25,25.32,198.74,383.48
32.99,14.38,175.73,282.46
22.18,16.32,31.61,485.56
2.03,9.53,60.21,387.35
1.71,6.75,15.83,270.12
15.26,9.64,78.38,267.59
18.4,6.63,57.61,324.31
2.24,7.35,73.55,397.73
2.23,5.95,74.03,409.32
2.17,9.49,168.4,369.72
2.19,20.16,139.45,285.44
2.31,18.72,39.06,352.02
0.61,9.83,34.91,216.49
5.57,3.68,62.05,425.74
20.5,10.13,51.31,340.52
2.68,14.03,116.07,232.65
2.94,2.05,57.49,477.23
2.96,15.73,81.12,303.09
2.8,15.45,73.55,387.92
25.34,2.38,73.39,527.01
30.04,16.49,74.53,98.09
4.07,24.49,0.42,127.22
4.17,8.14,57.07,473.8
27.42,5.91,29.97,132.32
6.09,18.0,67.53,449.34
6.77,7.38,76.88,448.81
5.99,15.29,52.15,511.63
5.94,22.41,44.56,392.94
29.01,3.71,35.21,247.27
16.13,15.11,88.94,360.44
14.66,2.11,94.5,482.45
