<1h,1-3h,3-6h,>6h
41.0, 74.94, 331.0, 444.0
0.0, 164.8, 334.0, 531.0
0.0, 83.76, 305.99, 498.0
0.01, 79.56, 357.99, 374.99
0.04, 134.27, 329.99, 474.68
0.06, 98.37, 338.92, 391.2
0.1, 100.47, 313.89, 389.68
0.22, 168.16, 315.72, 400.83
47.5, 43.46, 202.37, 447.75
0.56, 109.7, 329.78, 476.79
40.3, 101.58, 267.9, 361.31
2.9, 76.71, 348.37, 342.33
3.61, 102.34, 278.98, 309.29
6.58, 15.07, 203.18, 508.11
8.08, 23.39, 192.55, 426.47
10.5, 21.35, 222.56, 498.1
9.38, 47.97, 205.77, 368.51
16.11, 1.11, 257.81, 393.29
24.68, 42.04, 262.65, 404.35
34.42, 2.38, 286.35, 247.55
36.36, 36.0, 327.23, 343.32
35.87, 54.46, 143.19, 387.32
12.78, 46.31, 246.27, 510.82
83.16, 83.43, 192.76, 210.7
87.44, 49.88, 296.08, 372.67
94.74, 41.95, 298.44, 249.36
125.14, 44.4, 225.21, 249.36
92.95, 15.31, 102.79, 422.3
122.21, 38.46, 203.12, 279.7
111.38, 47.77, 107.86, 221.7
74.42, 8.55, 70.72, 163.95
109.28, 33.83, 171.61, 404.51
105.77, 31.81, 80.33, 427.83
142.77, 35.41, 128.09, 439.05
107.92, 30.91, 234.12, 217.48
113.18, 5.85, 296.63, 318.09
130.29, 24.26, 196.7, 144.49
68.95, 2.41, 266.2, 491.65
84.44, 51.35, 236.99, 354.69
69.58, 46.15, 145.5, 136.03
118.21, 40.84, 229.49, 438.32
125.85, 114.99, 91.1, 133.39
35.62, 34.73, 165.23, 473.12
118.13, 66.95, 130.62, 423.52
106.72, 23.96, 193.63, 386.36
71.27, 33.74, 170.97, 169.87
97.87, 46.1, 284.75, 207.02
91.68, 106.07, 164.93, 307.97
113.21, 29.95, 110.3, 396.7
61.91, 85.64, 197.49, 211.48
17.31, 43.36, 117.33, 575.94
57.85, 100.12, 57.66, 133.85
58.27, 197.55, 190.4, 502.94
78.16, 100.58, 18.0, 489.36
43.27, 72.0, 158.31, 121.64
10.16, 42.47, 146.74, 187.63
108.16, 72.8, 231.25, 350.37
10.1, 24.84, 149.04, 179.88
22.37, 64.31, 9.72, 337.93
211.66, 61.04, 34.23, 92.51
56.48, 53.02, 73.58, 376.33
126.91, 49.8, 68.01, 15.58
93.17, 57.69, 27.46, 288.3
14.36, 90.35, 1.65, 52.78
116.31, 60.46, 19.79, 340.86
70.7, 41.6, 10.02, 87.46
0.0, 90.67, 38.62, 565.92
80.56, 84.3, 55.59, 24.84
10.36, 99.35, 217.96, 371.29
97.4, 73.29, 168.46, 186.07
0.2, 129.07, 33.35, 9.35
5.71, 88.56, 145.36, 39.77
19.09, 35.93, 4.21, 46.08
51.53, 149.64, 241.29, 168.12
66.96, 66.11, 131.03, 323.56
77.66, 19.84, 148.94, 300.96
58.26, 25.55, 22.64, 20.43
6.49, 75.28, 40.14, 388.11
26.34, 43.42, 35.87, 207.25
54.93, 41.38, 62.59, 268.82
127.86, 1.45, 17.2, 20.05
1.47, 109.12, 18.63, 497.32
0.4, 30.59, 66.3, 84.55
14.41, 147.67, 131.91, 55.49
15.29, 24.57, 258.59, 46.27
2.36, 58.85, 226.1, 307.84
9.68, 83.62, 16.68, 373.32
123.48, 65.26, 134.62, 298.34
7.99, 50.35, 195.83, 273.0
7.18, 78.33, 76.52, 55.51
0.3, 65.63, 154.07, 137.51
20.88, 76.91, 67.62, 386.58
44.92, 24.38, 189.99, 172.23
0.73, 114.79, 147.37, 222.86
37.11, 31.68, 82.51, 14.17
30.54, 41.28, 60.42, 78.49
226.24, 14.13, 124.11, 136.11
88.21, 33.66, 3.99, 165.43
0.26, 20.79, 56.15, 50.09
0.21, 27.4, 31.91, 147.74
0.17, 5.43, 51.74, 523.3
0.26, 25.34, 76.86, 259.28
53.17, 42.55, 26.38, 91.37
34.66, 22.99, 126.66, 70.68
25.27, 3.36, 2.11, 42.8
2.54, 40.39, 60.54, 40.61
9.39, 16.27, 82.11, 125.81
111.91, 9.44, 56.65, 143.21
126.97, 41.9, 49.86, 111.49
211.12, 140.47, 67.36, 15.5
4.67, 32.23, 43.29, 85.78
1.2, 10.48, 24.93, 178.35
7.99, 94.93, 97.14, 453.6
47.57, 86.23, 148.1, 132.49
26.52, 135.48, 167.62, 256.03
0.11, 10.41, 104.98, 135.17
0.22, 1.53, 52.32, 86.56
38.37, 40.36, 65.39, 64.38
9.17, 42.23, 34.07, 232.62
1.18, 136.63, 8.25, 133.41
9.89, 22.58, 70.48, 420.31
2.11, 31.98, 16.6, 228.49
2.23, 4.65, 50.08, 5.38
99.05, 51.35, 17.66, 31.46
61.96, 18.07, 103.67, 35.51
30.45, 95.47, 9.07, 7.61
185.34, 102.71, 19.34, 83.84
4.88, 1.6, 59.5, 182.75
89.32, 78.17, 85.82, 86.77
16.79, 4.45, 113.34, 32.01
73.06, 26.76, 19.39, 8.39
30.31, 52.79, 23.04, 132.99
28.56, 254.46, 15.05, 54.56
34.99, 151.46, 172.28, 45.2
87.37, 61.16, 178.43, 87.18
85.2, 35.91, 3.63, 118.95
4.06, 12.74, 191.27, 65.3
22.66, 37.71, 238.95, 105.9
51.95, 32.22, 68.82, 85.11
41.21, 31.1, 59.83, 132.86
8.72, 52.21, 121.32, 176.3
20.36, 54.48, 184.46, 258.23
6.38, 41.58, 116.0, 59.91
36.84, 115.88, 265.22, 58.26
11.73, 72.9, 124.18, 112.73
27.57, 66.04, 149.52, 22.42
2.8, 146.47, 184.57, 60.56
35.8, 90.11, 54.45, 10.07
2.28, 54.63, 11.43, 11.51
24.98, 28.73, 76.33, 68.88
72.2, 4.82, 15.12, 78.39
67.78, 4.04, 3.52, 42.61
0.1, 15.85, 18.01, 48.43
9.88, 91.34, 96.18, 20.85
33.48, 81.4, 20.81, 83.24
5.15, 33.6, 17.3, 144.02
11.08, 15.43, 79.73, 39.5
56.66, 96.95, 47.89, 22.78
51.09, 2.25, 80.86, 223.19
71.35, 22.43, 95.45, 13.97
34.4, 17.23, 68.71, 106.03
45.66, 24.93, 4.44, 7.64
50.8, 17.91, 45.54, 251.8
7.83, 25.76, 51.18, 143.93
9.02, 6.48, 139.85, 158.52
15.05, 32.79, 54.28, 38.49
11.71, 67.52, 46.42, 415.95
34.91, 42.94, 60.37, 303.78
15.6, 29.75, 56.18, 92.86
68.16, 150.19, 122.9, 83.26
49.17, 97.34, 113.67, 317.35
18.11, 49.37, 68.6, 175.52
69.44, 54.1, 76.95, 91.23
36.47, 53.18, 8.23, 148.44
72.49, 3.06, 184.77, 59.68
27.66, 29.11, 9.7, 36.84
154.78, 0.96, 29.69, 118.44
8.46, 14.91, 6.62, 456.22
30.23, 41.64, 75.02, 56.74
