date,byAlarm,wakeUpTime,bedTime,sleepQuality,duration
24-09-2020,,,,,00.00.00
25-09-2020,Nej,05.30.00,22.30.00,4,07.00.00
26-09-2020,,,,,00.00.00
27-09-2020,,,,,00.00.00
28-09-2020,Nej,05.50.00,22.30.00,3,07.20.00
29-09-2020,Nej,05.50.00,22.00.00,4,07.50.00
30-09-2020,Nej,05.55.00,23.15.00,4,06.40.00
01-10-2020,Nej,06.15.00,00.30.00,4,05.45.00
02-10-2020,,,,,00.00.00
03-10-2020,,,,,00.00.00
04-10-2020,,,,,00.00.00
05-10-2020,Nej,05.10.00,22.40.00,4,06.30.00
06-10-2020,Nej,06.10.00,23.00.00,4,07.10.00
07-10-2020,Nej,07.05.00,23.20.00,5,07.45.00
08-10-2020,,,,,00.00.00
09-10-2020,,,,,00.00.00
10-10-2020,,,,,00.00.00
11-10-2020,,,,,00.00.00
12-10-2020,Nej,05.45.00,23.00.00,,06.45.00
13-10-2020,Nej,08.03.00,23.35.00,,08.28.00
14-10-2020,Nej,07.59.00,23.40.00,,08.19.00
15-10-2020,Nej,08.18.00,00.00.00,,08.18.00
16-10-2020,Nej,03.09.00,22.30.00,,04.39.00
17-10-2020,Nej,07.59.00,00.25.00,,07.34.00
18-10-2020,,,,,00.00.00
19-10-2020,Nej,06.50.00,22.40.00,,08.10.00
20-10-2020,Nej,07.40.00,00.20.00,vaknade sen 9.20,07.20.00
21-10-2020,Ja,07.00.00,22.45.00,,08.15.00
22-10-2020,,,,,00.00.00
23-10-2020,,,,,00.00.00
24-10-2020,Nej,08.49.00,02.45.00,Rocket league är kul,06.04.00
25-10-2020,Nej,08.05.00,01.29.00,Det blev vintertid så egentligen la jag mig 02.29,06.36.00
26-10-2020,,,,,00.00.00
27-10-2020,,,,,00.00.00
28-10-2020,Nej,09.10.00,01.05.00,Sensorn var inte igång,08.05.00
29-10-2020,Nej,09.41.00,01.40.00,,08.01.00
30-10-2020,Nej,08.30.00,01.30.00,Vaknade sen typ 10.30,07.00.00
31-10-2020,Nej,09.35.00,00.42.00,,08.53.00
01-11-2020,Nej,11.04.00,01.15.00,,09.49.00
02-11-2020,Nej,08.08.00,23.24.00,,08.44.00
03-11-2020,,,,,00.00.00
04-11-2020,,,,,00.00.00
05-11-2020,Ja,23.10.00,,,23.10.00
06-11-2020,,,,,00.00.00
07-11-2020,Ja,01.51.00,,,01.51.00
08-11-2020,,,,,00.00.00
09-11-2020,Ja,07.00.00,23.00.00,,08.00.00
10-11-2020,Nej,06.09.00,23.35.00,Vaknade sen 8.03,06.34.00
11-11-2020,Nej,06.30.00,23.55.00,Väcktes 8.40,06.35.00
12-11-2020,Nej,06.23.00,00.20.00,Väcktes 8.45,06.03.00
13-11-2020,Ja,07.40.00,23.00.00,,08.40.00
14-11-2020,,,,,00.00.00
15-11-2020,,,,,00.00.00
16-11-2020,Nej,05.35.00,23.00.00,sen 8.35,06.35.00
17-11-2020,Nej,07.10.00,00.10.00,,07.00.00
18-11-2020,Nej,06.44.00,23.35.00,,07.09.00
19-11-2020,Nej,05.55.00,23.55.00,,06.00.00
20-11-2020,Nej,09.21.00,23.40.00,lite osäker på sovtid,09.41.00
21-11-2020,Nej,09.20.00,03.05.00,,06.15.00
22-11-2020,Ja,10.07.00,02.14.00,Sensorn dog under natten,07.53.00
23-11-2020,Nej,06.30.00,00.40.00,,05.50.00
24-11-2020,Nej,08.24.00,23.15.00,"Osäker på sovtid, jag vakned 5 min innan larm",09.09.00
25-11-2020,Ja,09.30.00,00.10.00,,09.20.00
26-11-2020,Nej,07.47.00,23.50.00,,07.57.00
27-11-2020,Nej,07.26.00,22.50.00,,08.36.00
28-11-2020,Ja,11.00.00,01.40.00,,09.20.00
29-11-2020,Nej,09.40.00,02.32.00,,07.08.00
30-11-2020,Nej,04.53.00,00.00.00,Sen 8.51,04.53.00
01-12-2020,Nej,06.56.00,22.55.00,Vaknade av att handen var död pch floppade runt lite. Vaknade sen av alarm 08.15,08.01.00
02-12-2020,Nej,08.47.00,00.00.00,,08.47.00
