<1h,1-3h,3-6h,>6h
44.73,161.0,260.0,438.61
52.58,81.0,200.0,372.42
52.71,73.0,206.0,340.67
5.43,146.99,329.0,384.69
10.97,79.98,229.0,335.01
5.74,163.98,231.0,297.37
14.19,105.95,220.0,348.84
20.16,129.92,232.99,250.11
17.79,62.91,340.99,209.62
21.15,88.87,340.98,366.63
26.61,59.83,244.97,301.57
21.41,123.7,181.91,275.6
17.03,94.6,238.9,227.78
7.23,89.47,238.84,291.45
40.96,77.3,335.83,195.36
43.68,90.07,269.9,269.98
48.0,160.61,212.15,300.7
16.44,163.62,263.35,186.13
67.0,94.69,202.94,146.11
20.33,145.15,224.54,174.75
65.49,132.22,332.27,168.03
71.52,96.29,268.23,205.72
128.61,57.14,197.07,225.4
54.79,104.64,229.09,123.09
46.2,120.97,277.7,145.43
69.83,121.51,207.37,144.69
125.71,115.63,302.52,99.52
209.85,133.51,198.8,123.2
215.82,44.82,208.42,104.29
201.26,102.97,266.58,88.04
46.25,71.65,277.38,152.44
96.91,87.14,265.27,92.56
97.1,22.47,239.69,203.99
121.14,16.94,207.39,190.87
38.3,0.49,217.54,135.57
135.58,73.08,226.53,105.41
159.39,17.45,283.81,190.45
56.31,41.07,319.15,138.21
106.79,35.58,206.98,110.82
43.74,46.93,135.48,119.05
14.52,1.86,238.19,114.35
45.97,24.65,124.9,128.38
33.01,29.49,87.32,73.83
144.34,6.82,87.0,149.45
154.87,45.91,159.54,72.63
92.79,18.31,175.6,87.33
184.04,77.35,199.45,121.47
28.33,18.42,209.29,97.14
57.86,50.67,81.78,121.71
157.56,3.77,136.4,199.91
74.85,32.48,267.08,46.74
137.65,112.99,119.08,202.84
153.44,64.56,114.21,94.44
55.14,4.88,102.77,97.95
0.65,40.03,169.21,36.44
63.3,105.59,182.38,80.36
3.56,19.92,40.23,92.25
159.42,119.27,131.74,104.05
33.93,58.92,71.02,32.77
233.79,80.51,131.26,83.49
179.62,7.45,75.75,65.42
24.0,35.6,20.2,64.12
9.65,26.88,38.91,53.47
95.43,119.65,204.92,43.89
167.87,74.76,36.9,43.92
3.22,23.24,98.85,103.17
76.11,157.14,69.19,29.21
13.83,9.61,121.28,55.77
0.01,35.82,2.81,127.41
7.16,132.57,5.47,67.81
35.98,0.44,33.36,36.41
25.94,9.02,261.75,90.86
9.66,63.08,54.6,30.58
116.21,25.53,207.58,72.53
14.73,14.76,132.61,59.79
19.79,82.02,68.88,115.13
168.36,61.56,122.07,79.55
72.33,32.46,84.01,73.52
0.88,1.91,140.41,37.62
22.23,32.25,106.27,72.55
194.29,5.33,39.73,48.76
49.1,25.77,133.23,37.38
13.75,66.44,118.55,79.22
180.17,105.28,119.95,68.6
146.11,97.28,121.07,106.49
3.46,58.75,138.37,39.7
97.33,7.42,107.45,54.31
65.89,102.48,102.88,32.29
155.89,44.44,66.67,10.94
37.77,32.39,111.47,15.99
0.91,104.79,141.37,13.99
104.5,40.68,65.19,13.56
52.07,13.16,66.67,23.32
69.56,17.47,36.47,6.41
154.31,9.93,8.74,100.64
12.88,24.93,22.05,60.19
29.5,55.16,26.19,63.13
23.16,30.07,43.97,26.32
152.31,27.26,12.45,5.14
31.71,16.08,96.75,45.21
151.58,11.0,43.15,90.87
27.19,7.99,95.68,80.96
12.83,96.5,86.38,16.62
