date,byAlarm,wakeUpTime,bedTime,sleepQuality,duration
13-10-2020,Nej,08.03.00,23.35.00,,08.28.00
14-10-2020,Nej,07.59.00,23.40.00,,08.19.00
15-10-2020,Nej,08.18.00,00.00.00,,08.18.00
16-10-2020,Nej,03.09.00,22.30.00,,04.39.00
17-10-2020,Nej,07.59.00,00.25.00,,07.34.00
18-10-2020,,,,,00.00.00
19-10-2020,Nej,06.50.00,22.40.00,,08.10.00
20-10-2020,Nej,07.40.00,00.20.00,vaknade sen 9.20,07.20.00
21-10-2020,Ja,07.00.00,22.45.00,,08.15.00
22-10-2020,,,,,00.00.00
23-10-2020,,,,,00.00.00
24-10-2020,Nej,08.49,02.45.00,Rocket league är kul,06.04.00
25-10-2020,Nej,08.05.00,01.29.00,Det blev vintertid så egentligen la jag mig 02.29,06.36.00
26-10-2020,,,,,00.00.00
27-10-2020,,,,,00.00.00
28-10-2020,Nej,09.10.00,01.05.00,Sensorn var inte igång,08.05.00
29-10-2020,Nej,09.41.00,01.40.00,,08.01.00
30-10-2020,Nej,08.30.00,01.30.00,Vaknade sen typ 10.30,07.00.00
31-10-2020,Nej,09.35.00,00.42.00,,08.53.00
01-11-2020,Nej,11.04.00,01.15.00,,09.49.00
02-11-2020,Nej,08.08.00,23.24.00,,08.44.00
03-11-2020,,,,,00.00.00
04-11-2020,,,,,00.00.00
05-11-2020,Ja,23.10,,,23.10.00
06-11-2020,,,,,00.00.00
07-11-2020,Ja,01.51,,,01.51.00
08-11-2020,,,,,00.00.00
09-11-2020,Ja,07.00,23.00,,08.00.00
10-11-2020,Nej,06.09,23.35,Vaknade sen 8.03,06.34.00
11-11-2020,Nej,06.30,23.55,Väcktes 8.40,06.35.00
12-11-2020,Nej,06.23,00.20,Väcktes 8.45,06.03.00
13-11-2020,,,,,00.00.00
14-11-2020,,,,,00.00.00
15-11-2020,,,,,00.00.00
16-11-2020,,,,,00.00.00
17-11-2020,,,,,00.00.00
18-11-2020,,,,,
19-11-2020,,,,,
20-11-2020,,,,,
21-11-2020,,,,,
22-11-2020,,,,,
23-11-2020,,,,,
24-11-2020,,,,,
25-11-2020,,,,,
26-11-2020,,,,,
27-11-2020,,,,,
28-11-2020,,,,,
29-11-2020,,,,,
30-11-2020,,,,,
01-12-2020,,,,,
02-12-2020,,,,,
03-12-2020,,,,,
04-12-2020,,,,,
05-12-2020,,,,,
06-12-2020,,,,,
07-12-2020,,,,,
08-12-2020,,,,,
09-12-2020,,,,,
10-12-2020,,,,,
11-12-2020,,,,,
12-12-2020,,,,,
