0.001 sec,,20.0 sec,,60.0 sec,
0.0,0,0.0,0,0.0,75
7.017,0,20.0,72,60.0,71
14.024,0,40.0,79,120.0,0
21.001,0,60.0,72,180.0,69
24.001,73,80.0,0,240.0,65
28.014,71,100.0,0,300.0,66
32.064,74,120.0,0,360.0,63
36.001,72,140.0,0,420.0,65
39.524,0,160.0,74,480.0,70
40.014,73,180.0,78,540.0,61
44.027,76,200.0,67,600.0,0
48.001,79,220.0,0,660.0,76
52.012,81,240.0,61,720.0,75
56.024,79,260.0,0,780.0,76
60.008,77,280.0,64,840.0,75
64.014,74,300.0,65,900.0,74
68.028,73,320.0,0,960.0,69
72.002,72,340.0,0,1020.0,73
76.012,71,360.0,60,1080.0,77
80.027,0,380.0,64,1140.0,71
87.001,0,400.0,67,1200.0,71
94.015,0,420.0,65,1260.0,69
99.524,0,440.0,67,1320.0,73
100.765,0,460.0,62,1380.0,73
105.188,0,480.0,65,1440.0,78
112.014,0,500.0,0,1500.0,75
119.026,0,520.0,70,1560.0,73
126.001,0,540.0,66,1620.0,72
131.144,0,560.0,59,1680.0,77
137.296,0,580.0,0,1740.0,75
144.001,0,600.0,0,1800.0,74
151.021,0,620.0,0,1860.0,78
158.027,0,640.0,0,1920.0,77
159.524,0,660.0,0,1980.0,70
165.007,0,680.0,79,2040.0,71
168.003,74,700.0,72,2100.0,67
172.018,72,720.0,74,2160.0,77
176.028,75,740.0,75,2220.0,74
180.002,77,760.0,76,2280.0,71
184.013,80,780.0,77,2340.0,70
188.027,78,800.0,0,2400.0,69
192.002,0,820.0,76,2460.0,73
199.014,0,840.0,75,2520.0,72
200.027,70,860.0,76,2580.0,71
204.002,68,880.0,75,2640.0,73
208.016,67,900.0,75,2700.0,70
212.025,66,920.0,75,2760.0,76
216.002,0,940.0,72,2820.0,74
219.529,0,960.0,0,2880.0,68
223.015,0,980.0,69,2940.0,73
230.027,0,1000.0,0,3000.0,75
237.0,0,1020.0,71,3060.0,70
244.015,0,1040.0,0,3120.0,70
248.026,61,1060.0,75,3180.0,73
252.002,0,1080.0,75,3240.0,69
259.015,0,1100.0,80,3300.0,78
266.025,0,1120.0,75,3360.0,80
273.002,0,1140.0,77,3420.0,76
279.526,0,1160.0,70,3480.0,64
280.01,0,1180.0,66,3540.0,68
284.028,67,1200.0,69,3600.0,71
288.002,65,1220.0,71,3660.0,73
292.013,62,1240.0,72,3720.0,77
296.027,63,1260.0,0,3780.0,69
300.002,64,1280.0,70,3840.0,68
304.014,65,1300.0,68,3900.0,67
308.028,65,1320.0,70,3960.0,81
312.002,64,1340.0,0,4020.0,77
316.012,66,1360.0,70,4080.0,73
320.026,0,1380.0,69,4140.0,75
327.001,0,1400.0,76,4200.0,71
334.014,0,1420.0,75,4260.0,71
339.527,0,1440.0,0,4320.0,76
341.027,0,1460.0,77,4380.0,66
348.002,0,1480.0,80,4440.0,71
355.014,0,1500.0,77,4500.0,71
362.027,0,1520.0,76,4560.0,65
369.0,0,1540.0,71,4620.0,65
376.014,60,1560.0,71,4680.0,76
380.03,62,1580.0,77,4740.0,72
384.001,64,1600.0,72,4800.0,0
388.014,63,1620.0,70,4860.0,56
395.027,63,1640.0,71,4920.0,57
396.001,65,1660.0,74,4980.0,58
399.531,0,1680.0,79,5040.0,59
400.012,64,1700.0,75,5100.0,59
404.027,63,1720.0,76,5160.0,60
408.001,65,1740.0,72,5220.0,62
412.014,67,1760.0,74,5280.0,66
416.027,69,1780.0,79,5340.0,0
420.001,67,1800.0,77,5400.0,0
424.018,65,1820.0,72,5460.0,0
428.027,64,1840.0,73,5520.0,0
432.008,65,1860.0,76,5580.0,0
440.025,69,1880.0,80,5640.0,112
444.001,68,1900.0,79,5700.0,0
448.015,66,1920.0,78,5760.0,0
455.027,66,1940.0,79,5820.0,0
456.001,68,1960.0,75,5880.0,0
459.534,0,1980.0,71,5940.0,70
460.014,65,2000.0,67,6000.0,74
464.028,62,2020.0,70,6060.0,76
468.002,62,2040.0,71,6120.0,74
472.012,62,2060.0,71,6180.0,71
479.029,62,2080.0,70,6240.0,75
480.002,64,2100.0,66,6300.0,75
484.014,65,2120.0,0,6360.0,0
484.763,65,2140.0,68,6420.0,0
488.028,0,2160.0,72,6480.0,0
492.452,0,2180.0,80,6540.0,0
499.015,0,2200.0,79,6600.0,0
506.027,0,2220.0,78,6660.0,0
513.001,0,2240.0,74,6720.0,0
519.528,0,2260.0,71,6780.0,0
520.014,0,2280.0,69,6840.0,0
524.028,71,2300.0,73,6900.0,0
528.001,72,2320.0,71,6960.0,0
532.013,70,2340.0,73,7020.0,0
536.026,69,2360.0,66,7080.0,0
540.001,70,2380.0,70,7140.0,0
544.012,71,2400.0,74,7200.0,0
548.028,68,2420.0,66,7260.0,0
552.001,65,2440.0,68,7320.0,0
556.014,64,2460.0,76,7380.0,0
560.027,63,2480.0,72,7440.0,0
564.0,62,2500.0,71,7500.0,0
568.014,61,2520.0,76,7560.0,0
572.025,58,2540.0,72,7620.0,0
575.552,0,2560.0,67,7680.0,0
579.526,0,2580.0,72,7740.0,0
581.746,0,2600.0,72,7800.0,0
588.003,0,2620.0,67,7860.0,0
595.015,0,2640.0,70,7920.0,0
602.026,0,2660.0,76,7980.0,73
609.01,0,2680.0,71,8040.0,0
611.065,0,2700.0,70,8100.0,83
618.009,0,2720.0,68,8160.0,0
625.015,0,2740.0,72,8220.0,0
632.027,0,2760.0,75,8280.0,76
638.89,0,2780.0,78,8340.0,69
