0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 72,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74,
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 74, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 72, 65, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 67, 89, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 73, 0, 89, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 76, 69, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 79, 70, 0, 0, 71, 0, 0, 0, 0, 0, 79, 0, 0,
0, 0, 0, 81, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 79, 69, 0, 0, 72, 79, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 77, 71, 0, 0, 72, 77, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 74, 72, 0, 76, 74, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 73, 75, 0, 78, 75, 0, 73, 0, 0, 0, 0, 0, 0,
0, 0, 0, 72, 75, 0, 80, 78, 0, 0, 0, 0, 0, 0, 82, 0,
0, 0, 0, 71, 76, 0, 82, 80, 0, 0, 0, 0, 0, 0, 82, 0,
0, 0, 0, 0, 79, 0, 83, 79, 0, 0, 0, 88, 0, 77, 0, 0,
0, 0, 0, 0, 80, 0, 85, 77, 0, 0, 0, 90, 0, 77, 0, 0,
0, 0, 0, 0, 77, 0, 85, 77, 0, 0, 0, 91, 0, 77, 0, 0,
0, 0, 0, 0, 78, 0, 0, 75, 0, 0, 0, 92, 0, 0, 0, 0,
0, 0, 0, 0, 81, 0, 84, 0, 0, 0, 0, 95, 0, 0, 0, 0,
0, 0, 0, 0, 80, 0, 83, 0, 0, 0, 0, 97, 0, 0, 0, 0,
0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 95, 0, 0, 0, 0,
0, 0, 0, 0, 81, 0, 80, 0, 0, 0, 0, 94, 0, 0, 0, 0,
0, 0, 0, 0, 82, 0, 78, 0, 0, 0, 0, 93, 0, 0, 0, 0,
0, 0, 0, 0, 83, 80, 75, 0, 70, 0, 0, 91, 0, 0, 0, 0,
0, 0, 0, 0, 84, 82, 73, 73, 69, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 85, 83, 75, 73, 71, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 84, 84, 77, 75, 73, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 0, 85, 0, 78, 76, 0, 0, 0, 0, 0, 0, 68, 0,
0, 69, 0, 0, 84, 86, 77, 77, 0, 0, 0, 0, 0, 0, 69, 0,
0, 0, 0, 0, 82, 87, 74, 77, 0, 0, 0, 0, 0, 0, 68, 0,
0, 70, 0, 74, 85, 90, 72, 0, 0, 0, 0, 0, 72, 0, 67, 0,
0, 0, 0, 72, 82, 93, 73, 0, 0, 0, 0, 0, 72, 0, 67, 0,
81, 0, 0, 75, 80, 92, 0, 0, 0, 0, 0, 0, 72, 0, 69, 0,
83, 0, 0, 77, 83, 89, 0, 0, 0, 0, 0, 108, 72, 0, 70, 0,
81, 0, 0, 80, 80, 0, 72, 0, 70, 0, 0, 0, 72, 0, 71, 0,
79, 0, 0, 78, 77, 0, 72, 0, 71, 0, 0, 0, 73, 0, 73, 0,
82, 70, 0, 0, 0, 0, 0, 77, 71, 0, 0, 0, 73, 0, 75, 0,
85, 0, 0, 0, 77, 0, 0, 77, 71, 0, 0, 0, 0, 0, 0, 0,
82, 70, 0, 70, 75, 80, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0,
81, 71, 0, 68, 72, 82, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0,
79, 0, 0, 67, 75, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 66, 73, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0,
81, 0, 0, 0, 70, 86, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0,
80, 0, 0, 0, 68, 84, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0,
77, 0, 0, 0, 68, 87, 0, 0, 73, 0, 0, 78, 0, 0, 0, 0,
75, 0, 0, 0, 69, 86, 0, 66, 74, 0, 0, 0, 0, 0, 0, 0,
75, 0, 0, 0, 72, 88, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0,
75, 0, 0, 0, 70, 87, 77, 67, 74, 0, 0, 66, 71, 0, 0, 76,
0, 0, 0, 61, 72, 85, 80, 69, 73, 0, 0, 68, 70, 0, 0, 78,
0, 0, 0, 0, 74, 0, 80, 70, 74, 0, 0, 71, 70, 0, 0, 78,
0, 0, 0, 0, 76, 0, 78, 72, 72, 0, 0, 0, 70, 0, 94, 80,
0, 0, 0, 0, 77, 0, 0, 75, 72, 0, 0, 74, 0, 0, 94, 0,
0, 0, 0, 0, 0, 0, 84, 78, 73, 0, 0, 75, 70, 73, 0, 0,
73, 0, 0, 0, 80, 86, 0, 79, 73, 0, 0, 78, 71, 73, 93, 0,
73, 0, 0, 0, 82, 0, 0, 79, 0, 0, 0, 80, 71, 75, 91, 0,
0, 0, 0, 67, 84, 86, 75, 80, 74, 0, 0, 81, 71, 73, 88, 0,
0, 0, 0, 65, 83, 84, 0, 80, 73, 0, 0, 82, 73, 0, 85, 73,
0, 0, 0, 62, 0, 82, 0, 79, 74, 0, 0, 80, 73, 0, 0, 0,
0, 0, 0, 63, 0, 82, 72, 81, 74, 0, 0, 79, 76, 0, 0, 73,
0, 0, 0, 64, 0, 84, 0, 80, 73, 0, 0, 78, 79, 0, 0, 74,
